,Run,Object,RA,Dec,Equinox,UT,Airm,Instr,Texp sec,Sky PA,Filters etc.,Slit,Grat,CenwA,Comments,night,date,mjd,RA_deg,Dec_deg,search_group
1274,1603393,137P,11:31:15.14,-02:15:12.7,2000.0,03:53,1.46,1  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.16180555556,172.81308333333334,-2.253527777777778,80.0
1275,1603394,137P,11:31:15.14,-02:15:12.7,2000.0,03:56,1.47,5  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.16388888889,172.81308333333334,-2.253527777777778,80.0
1276,1603395,137P,11:31:15.14,-02:15:12.7,2000.0,03:59,1.48,9  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.165972222225,172.81308333333334,-2.253527777777778,80.0
1277,1603396,137P,11:31:15.14,-02:15:12.7,2000.0,04:02,1.5,4  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.16805555556,172.81308333333334,-2.253527777777778,80.0
1278,1603397,137P,11:31:15.14,-02:15:12.7,2000.0,04:05,1.52,0  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.17013888889,172.81308333333334,-2.253527777777778,80.0
1279,1603398,137P,11:31:15.14,-02:15:12.7,2000.0,04:07,1.53,6  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.17152777778,172.81308333333334,-2.253527777777778,80.0
1280,1603399,137P,11:31:15.14,-02:15:12.7,2000.0,04:10,1.55,2  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.17361111111,172.81308333333334,-2.253527777777778,80.0
1281,1603400,137P,11:31:15.14,-02:15:12.7,2000.0,04:13,1.56,9  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.17569444444,172.81308333333334,-2.253527777777778,80.0
1282,1603401,137P,11:31:15.14,-02:15:12.7,2000.0,04:16,1.58,7  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.177777777775,172.81308333333334,-2.253527777777778,80.0
1283,1603402,137P,11:31:15.14,-02:15:12.7,2000.0,04:19,1.6,5  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.17986111111,172.81308333333334,-2.253527777777778,80.0
1284,1603403,137P,11:31:15.14,-02:15:12.7,2000.0,04:21,1.62,4  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.18125,172.81308333333334,-2.253527777777778,80.0
1285,1603404,137P,11:31:15.14,-02:15:12.7,2000.0,04:24,1.64,3  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.183333333334,172.81308333333334,-2.253527777777778,80.0
1286,1603405,137P,11:31:15.14,-02:15:12.7,2000.0,04:27,1.66,4  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.18541666667,172.81308333333334,-2.253527777777778,80.0
1287,1603406,137P,11:31:15.14,-02:15:12.7,2000.0,04:30,1.68,6  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.1875,172.81308333333334,-2.253527777777778,80.0
1288,1603407,137P,11:31:15.14,-02:15:12.7,2000.0,04:33,1.7,8  WFC,120.0,180.0,r,,,,,20220310,20220311,59649.18958333333,172.81308333333334,-2.253527777777778,80.0
