,Object,N_frames,RA_deg_med,Dec_deg_med,mjd_med,RA_deg_min,Dec_deg_min,mjd_min,RA_deg_max,Dec_deg_max,mjd_max,date_med
29,9P,7,343.17833333333334,-27.796916666666668,59810.09861111111,342.7525833333333,-27.900527777777775,59810.06319444445,343.3704583333333,-27.789527777777778,59811.09444444445,2022-08-19 02:22:00.000
30,C2017K2,43,281.42429166666665,11.346833333333334,59647.24652777778,241.36783333333327,-18.093944444444443,59646.209027777775,281.6942083333333,11.368388888888889,59809.93819444445,2022-03-09 05:55:00.000
31,C2020E3,4,251.90952083333335,34.458708333333334,59811.02118055556,251.87004166666668,34.45411111111111,59811.00347222222,251.92437499999997,34.62038888888889,59811.05347222222,2022-08-20 00:30:30.000
32,C2020K1,7,260.65441666666663,3.124722222222222,59809.993055555555,260.54404166666666,2.992472222222222,59809.959027777775,260.76624999999996,3.2569444444444446,59810.03055555555,2022-08-18 23:50:00.000
33,C2021Y1,3,74.55833333333332,36.87283333333333,59810.180555555555,74.54708333333332,36.71094444444445,59810.16388888889,74.58425,36.876583333333336,59810.19652777778,2022-08-19 04:20:00.000
34,DIDYMOS,198,116.03195,27.05063888888889,60017.999652777784,115.02975833333332,17.01211111111111,59905.217361111114,125.78337499999996,27.353694444444447,60021.02916666667,2023-03-14 23:59:30.000
35,FUCHIE,141,130.17283749999999,17.27886111111111,60018.96666666667,130.0134125,17.27772222222222,60018.879166666666,130.1793875,17.30552777777778,60021.870833333334,2023-03-15 23:12:00.000
36,NAKANOTADAO,186,204.99674999999996,-4.352694444444444,60020.554513888885,0.0,-4.6305000000000005,60018.2375,205.29991666666663,0.0,60022.260416666664,2023-03-17 13:18:30.000
37,NEREUS,20,226.32447916666666,-22.001180555555557,59641.18784722222,226.32354166666664,-22.001666666666665,59641.174305555556,226.32579166666665,-22.000555555555554,59641.197222222225,2022-03-03 04:30:30.000
38,ROBINSON,11,203.91841666666664,-23.289694444444446,59644.21041666667,203.76216666666667,-23.388333333333332,59642.19375,204.01608333333328,-23.135194444444444,59647.19861111111,2022-03-06 05:03:00.000
